wiki_page,sentence,cause,effect,ChatGPT_label,GPT4_label
Thomas Robert Mal##THUS##,"of the relationship between population and economics, mal##THUS## wrote that when the population of laborers grows faster than the production of food, real wages fall **BECAUSE** the growing population causes the cost of living (i",The cost of living increases , The interest rate rises,0,0.0
Thomas Robert Mal##THUS##,"of the relationship between population and economics, mal##THUS## wrote that when the population of laborers grows faster than the production of food, real wages fall **BECAUSE** the growing population causes the cost of living (i",The cost of living increases , The marginal cost increases,0,0.0
Thomas Robert Mal##THUS##," at the end of the show, the revolution wins but the characters end up dying **BECAUSE** water was not being conserved, unlike when the 'pee fee' was in place",Water was not being conserved , The market is not functioning,0,0.0
Paul Samuelson," his family, he later said, was ""made up of upwardly mobile jewish immigrants from poland who had prospered considerably in world war i, **BECAUSE** gary was a brand new steel-town when my family went there""",Gary was a brand new steel-town when his family went there , He worked on tangents,0,0.0
Management accounting,"traditional standard costing (tsc), used in cost accounting, dates back to the 1920s and is a central method in management accounting practiced today **BECAUSE** it is used for financial statement reporting for the valuation of income statement and balance sheet line items such as cost of goods sold (cogs) and inventory valuation",Traditional standard costing (TSC) is used for financial statement reporting , The use of neoclassical economic demand curves does not require any assumptions about the rationality of,0,0.0
Management accounting,"traditional standard costing (tsc), used in cost accounting, dates back to the 1920s and is a central method in management accounting practiced today **BECAUSE** it is used for financial statement reporting for the valuation of income statement and balance sheet line items such as cost of goods sold (cogs) and inventory valuation",Traditional standard costing (TSC) is used for financial statement reporting , The risk management function overlaps with corporate finance,0,0.0
Management accounting,"traditional standard costing (tsc), used in cost accounting, dates back to the 1920s and is a central method in management accounting practiced today **BECAUSE** it is used for financial statement reporting for the valuation of income statement and balance sheet line items such as cost of goods sold (cogs) and inventory valuation",Traditional standard costing (TSC) is used for the valuation of income statement and balance sheet line items such as cost of goods sold (COGS) and invent , The notion of cost of capital and enterprise value (EV) may be meaningless ##AS A CONSEQUENCE,0,0.0
Management accounting,"traditional standard costing (tsc), used in cost accounting, dates back to the 1920s and is a central method in management accounting practiced today **BECAUSE** it is used for financial statement reporting for the valuation of income statement and balance sheet line items such as cost of goods sold (cogs) and inventory valuation",Traditional standard costing (TSC) is used for the valuation of income statement and balance sheet line items such as cost of goods sold (COGS) and invent ," a credit valuation adjustment, or CVA – and potentially other valuation adjustments, collectively xVA – is generally added to the risk-neutral derivative value",0,0.0
Durable good, items like bricks could be considered perfectly durable goods **BECAUSE** they should theoretically never wear out,Items like bricks should theoretically never wear out , The available resources would not be allocated efficiently,0,0.0
Durable good, items like bricks could be considered perfectly durable goods **BECAUSE** they should theoretically never wear out,"Theoretically, items like bricks should never wear out ", One's thought processes are facilitated,0,0.0
Durable good, items like bricks could be considered perfectly durable goods **BECAUSE** they should theoretically never wear out,"Theoretically, items like bricks should never wear out "," The creatures should have been able to experience the Euclidean properties, just in a different representation",0,0.0
Balance of trade,measuring the balance of trade can be problematic **BECAUSE** of problems with recording and collecting data,There are problems with recording and collecting data , They provide a low-cost alternative,0,0.0
Balance of trade, most developed countries have a large physical trade deficit **BECAUSE** they consume more raw materials than they produce,they consume more raw materials than they produce , Specialist firms can generate large trades,0,0.0
Balance of trade," hume argued that england could not permanently gain from exports, **BECAUSE** hoarding gold (i",Hume believed that England's state of hoarding gold , The Austrian School regarded the crisis as a vindication,0,0.0
Balance of trade," hume argued that england could not permanently gain from exports, **BECAUSE** hoarding gold (i",Hume believed that England's state of hoarding gold , Gold was imported from the New World,0,0.0
Balance of trade," hume argued that england could not permanently gain from exports, **BECAUSE** hoarding gold (i",Hume believed that England's state of hoarding gold ," The South opposed the ""American System""",0,0.0
Balance of trade," hume argued that england could not permanently gain from exports, **BECAUSE** hoarding gold (i",Hume believed that England's state of hoarding gold , efforts to control trade mainly took the form of British mercantilism,0,0.0
Public–private partnership," this is **BECAUSE** the ppp model promised to bring new sources of funding for infrastructure projects in transition economies, which could translate into jobs and economic growth",The PPP model promised to bring new sources of funding for infrastructure projects , The adjustment required would lead to a confidence crisis,0,0.0
Public–private partnership,"following an incident in the royal infirmary of edinburgh where surgeons were forced to continue a heart operation in the dark following a power cut **CAUSED BY** pfi operating company consort, dave watson from unison criticized the way the pfi contract operates:
",The power cut **CAUSED BY** PFI operating company Consort , The theory had forced capital savings **CAUSED BY** inflation,0,0.0
Public–private partnership,"following an incident in the royal infirmary of edinburgh where surgeons were forced to continue a heart operation in the dark following a power cut **CAUSED BY** pfi operating company consort, dave watson from unison criticized the way the pfi contract operates:
",Dave Watson criticized the way the PFI contract operates , The strategy was not effective,0,0.0
Management,"  thomas taylor meadows, britain's consul in guangzhou, argued in his desultory notes on the government and people of china (1847) that ""the long duration of the chinese empire is solely and altogether **OWING TO**the good government which consists in the advancement of men of talent and merit only,"" and that the british must reform their civil service by making the institution meritocratic",The British must reform their civil service ," The South opposed the ""American System""",0,0.0
Management,"  thomas taylor meadows, britain's consul in guangzhou, argued in his desultory notes on the government and people of china (1847) that ""the long duration of the chinese empire is solely and altogether **OWING TO**the good government which consists in the advancement of men of talent and merit only,"" and that the british must reform their civil service by making the institution meritocratic",The British civil service should be meritocratic , Property should be private,0,0.0
Management,"  thomas taylor meadows, britain's consul in guangzhou, argued in his desultory notes on the government and people of china (1847) that ""the long duration of the chinese empire is solely and altogether **OWING TO**the good government which consists in the advancement of men of talent and merit only,"" and that the british must reform their civil service by making the institution meritocratic",The British civil service should be meritocratic , Growth should speed up to its previous levels,0,0.0
Management,"  thomas taylor meadows, britain's consul in guangzhou, argued in his desultory notes on the government and people of china (1847) that ""the long duration of the chinese empire is solely and altogether **OWING TO**the good government which consists in the advancement of men of talent and merit only,"" and that the british must reform their civil service by making the institution meritocratic",The Chinese empire has good government , the Third World is poor,0,0.0
Management,"  thomas taylor meadows, britain's consul in guangzhou, argued in his desultory notes on the government and people of china (1847) that ""the long duration of the chinese empire is solely and altogether **OWING TO**the good government which consists in the advancement of men of talent and merit only,"" and that the british must reform their civil service by making the institution meritocratic",The Chinese empire has good government , The economy has a sustainable limit to motion,0,0.0
Numerical analysis," similarly, discretization induces a discretization error **BECAUSE** the solution of the discrete problem does not coincide with the solution of the continuous problem",solution of the discrete problem does not coincide with the solution of the continuous problem , A Pareto optimal allocation of resources is not possible,0,0.0
David Dodd," **BECAUSE** value investing rejects mpt and its use of sophisticated statistics, there's irony when mpt theorists attribute its success to tails of standard deviation",Value Investing rejects MPT , Monetary policy is preferred by economists,0,0.0
Automatic stabilizer, this change in tax revenue occurs **BECAUSE** of the way modern tax systems are generally constructed,modern tax systems are generally constructed , Poll taxes are administratively cheap,0,0.0
American School (economics)," as later defined by senator henry clay who became known as the father of the american system **BECAUSE** of his impassioned support thereof, the american system was to unify the nation north to south, east to west, and city to farmer","The American System was to unify the nation north to south, east to west, and city to farmer ", The German people did not have a legal language that would support codification,0,0.0
American School (economics)," as later defined by senator henry clay who became known as the father of the american system **BECAUSE** of his impassioned support thereof, the american system was to unify the nation north to south, east to west, and city to farmer",Senator Henry Clay became known as the Father of the American System **BECAUSE** of his impassioned support thereof , per capita income was limited by the Mal##THUS##ian trap,0,0.0
American School (economics),"the south opposed the ""american system"" **BECAUSE** its plantation owners were heavily reliant on production of cotton for export, and the american system produced lower demand for their cotton and created higher costs for manufactured goods",The South's plantation owners were heavily reliant on production of cotton for export , Cities faced the brunt of this decline,0,0.0
American School (economics),"the south opposed the ""american system"" **BECAUSE** its plantation owners were heavily reliant on production of cotton for export, and the american system produced lower demand for their cotton and created higher costs for manufactured goods",The American System produced lower demand for their cotton , Inputs were purposely rationed by the central plan,0,0.0
American School (economics),"the south opposed the ""american system"" **BECAUSE** its plantation owners were heavily reliant on production of cotton for export, and the american system produced lower demand for their cotton and created higher costs for manufactured goods",The American System created higher costs for manufactured goods , English goods would become less attractive exports,0,0.0
Employment," it can still be ended for two reasons: personal reason, immediate end of employment only for strong reasons such as crime, or lack of work tasks (swe: arbetsbrist), cancellation of employment, usually **BECAUSE** of bad income for the company",employment can be ended **BECAUSE** of bad income for the company , The stock of health gradually declines **BECAUSE** of aging,0,0.0
Venture capital,"exit**BECAUSE** there are no public exchanges listing their securities, private companies meet venture capital firms and other private-equity investors in several ways, including warm referrals from the investors' trusted sources and other business contacts; investor conferences and symposia; and summits where companies pitch directly to investor groups in face-to-face meetings, including a variant known as ""speed venturing"", which is akin to speed-dating for capital, where the investor decides within 10 minutes whether he wants a follow-up meeting",Private companies meet venture capital firms and other private-equity investors , Public policy used to strengthen anti-competitive duopolistic practices,0,0.0
Venture capital,"exit**BECAUSE** there are no public exchanges listing their securities, private companies meet venture capital firms and other private-equity investors in several ways, including warm referrals from the investors' trusted sources and other business contacts; investor conferences and symposia; and summits where companies pitch directly to investor groups in face-to-face meetings, including a variant known as ""speed venturing"", which is akin to speed-dating for capital, where the investor decides within 10 minutes whether he wants a follow-up meeting",Private companies meet venture capital firms and other private-equity investors , equity investors and creditors prefer to know the market values of a firm's assets,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","New urbanism can address region-wide environmental, social, and economic issues ", Innovation and technical change are determined by economic actors,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","New urbanism can address region-wide environmental, social, and economic issues ", Business communication studies revolve around the ever-changing written and oral communication aspects directly related to the field of business,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","New urbanism can address region-wide environmental, social, and economic issues ", Business communication studies revolve around the ever-changing written and oral communication aspects directly related to the field of business,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","Environmental, social, and economic issues may require a regional focus ", Economic models must be updated to include assessment of power relations,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","Environmental, social, and economic issues may require a regional focus "," The focus of analysis, modeling, and decision making is on configuring a production system",0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The approach of new urbanism can address issues that require a regional focus , Power relations must be assessed in economic models,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The approach of new urbanism can address issues that require a regional focus , Bell advocates for the center of political focus to be on communities,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The approach of new urbanism can address issues that require a regional focus , The extension of real options to real-world projects requires customized decision support systems,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",Peter Calthorpe promotes new urbanism , propaganda has been the target of historical revisionist attempts,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","New urbanism can address region-wide environmental, social, and economic issues ", public policy is not fully cognizant of the impact of its actions on the real estate market,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus","New urbanism can address region-wide environmental, social, and economic issues ", Business communication studies revolve around the ever-changing written and oral communication aspects directly related to the field of business,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The approach of new urbanism requires a regional focus , The journal Applied Economics may help bring economic theory nearer to reality,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The approach of new urbanism can address issues that require a regional focus , The HHI cannot be used to cross-examine different industries,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The approach of new urbanism can address issues that require a regional focus , The paradigm is at odds with the emphasis on the system as a whole,0,0.0
Regional planning," advocates for regional planning such as new urbanist peter calthorpe, promote the approach **BECAUSE** it can address region-wide environmental, social, and economic issues which may necessarily require a regional focus",The , The,0,0.0
Economy," the period today is called industrial revolution **BECAUSE** the system of production, production and division of labor enabled the mass production of goods","The system of production, production, and division of labor enabled the mass production of goods "," The French Revolution's ideals, including that of the nation state, were disseminated further due to Napoleonic rule",0,0.0
Economy,"with the spread of internet as a mass media and communication medium especially after 2000–2001, the idea for the internet and information economy is given place **BECAUSE** of the growing importance of e-commerce and electronic businesses, also the term for a global information society as understanding of a new type of ""all-connected"" society is created",The term for a global information society is created , The field of biosemiotics was described,0,0.0
Economy,"with the spread of internet as a mass media and communication medium especially after 2000–2001, the idea for the internet and information economy is given place **BECAUSE** of the growing importance of e-commerce and electronic businesses, also the term for a global information society as understanding of a new type of ""all-connected"" society is created",The growing importance of e-commerce and electronic businesses , The rise of a new working class,0,0.0
Economy,"with the spread of internet as a mass media and communication medium especially after 2000–2001, the idea for the internet and information economy is given place **BECAUSE** of the growing importance of e-commerce and electronic businesses, also the term for a global information society as understanding of a new type of ""all-connected"" society is created",The growing importance of e-commerce and electronic businesses , Sustained increase in the real value of money and other monetary items,0,0.0
John Maynard Keynes,"keynes's influence started to wane in the 1970s, partly ##AS A RESULT##of the stagflation that plagued the anglo-american economies during that decade, and partly **BECAUSE** of criticism of keynesian policies by milton friedman and other monetarists, who disputed the ability of government to favourably regulate the business cycle with fiscal policy",criticism of Keynesian policies by Milton Friedman and other monetarists , Individualist anarchists held socialist doctrines,0,0.0
John Maynard Keynes,"keynes's influence started to wane in the 1970s, partly ##AS A RESULT##of the stagflation that plagued the anglo-american economies during that decade, and partly **BECAUSE** of criticism of keynesian policies by milton friedman and other monetarists, who disputed the ability of government to favourably regulate the business cycle with fiscal policy",Keynes's influence started to wane , The value of the dollar began to decline,0,0.0
John Maynard Keynes," more to friedman's taste was the tract on monetary reform (1923), which he regarded as keynes's best work **BECAUSE** of its focus on maintaining domestic price stability",Keynes focused on maintaining domestic price stability in the Tract on Monetary Reform , Monetary policy is preferred by economists,0,0.0
John Maynard Keynes," strachey had previously found himself put off by keynes, not least **BECAUSE** of his manner of ""treat[ing] his love affairs statistically""",Keynes treated his love affairs statistically , Keynes wrote the General Theory,0,0.0
John Maynard Keynes, one line of attack held that he was uninterested in the long-term ramifications of his theories **BECAUSE** he had no children,He had no children , They had a name (the Asian option),0,0.0
John Maynard Keynes, one line of attack held that he was uninterested in the long-term ramifications of his theories **BECAUSE** he had no children,He had no children , His revisions were optimistic,0,0.0
John Maynard Keynes," keynes was granted permission to invest a small minority of assets in stocks, and his adroit management resulted this portion of the endowment gr**OWING TO**become the majority of the endowment's assets",This portion of the endowment grew to become the majority of the endowment's assets , The company generates profits,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have interactions , The messages are seen as effective,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have interactions , The messages are seen as effective,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have interactions , The messages are seen as effective,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have unique properties , The sources use different methods,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have dependent properties , The output is eventually affected,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have nature , It is,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have nature , The leaks existed,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have nature , It is,0,0.0
Statistical finance, emergent properties are largely independent of the uniqueness of individual agents **BECAUSE** they are dependent on the nature of the interactions of the agents rather than the agents themselves,The agents have interactions that are dependent on the nature of the interactions , The decisions of other players can be modeled using game theory,0,0.0
Statistical finance,within the subject the description of financial markets blindly in terms of models of statistical physics has been argued as flawed **BECAUSE** it has transpired these do not fully correspond to what we now know about real finance markets,The models of statistical physics do not fully correspond to real finance markets , there are enormous numbers of models with similar explanatory ability but different covariates,0,0.0
Statistical finance,within the subject the description of financial markets blindly in terms of models of statistical physics has been argued as flawed **BECAUSE** it has transpired these do not fully correspond to what we now know about real finance markets,It has transpired that the models of statistical physics do not fully correspond to real finance markets , Quantum systems become incapable of displaying many typically quantum effects,0,0.0
Statistical finance,within the subject the description of financial markets blindly in terms of models of statistical physics has been argued as flawed **BECAUSE** it has transpired these do not fully correspond to what we now know about real finance markets,Real finance markets have been studied and found to not fully correspond to the models of statistical physics. 6 , The postulate is used to generate refutable hypotheses. 8,0,0.0
Financial crisis," ##THEREFORE###, financial crises are sometimes viewed as a vicious circle in which investors shun some institution or asset **BECAUSE** they expect others to do so",investors expect others to shun the same institution or asset , Individuals have a natural desire to have outside observers sympathize with their sentiments,0,0.0
Financial crisis,many analyses of financial crises emphasize the role of investment mistakes **CAUSED BY** lack of knowledge or the imperfections of human reasoning,lack of knowledge , A spontaneous urge to action rather than inaction,0,0.0
Financial crisis," reinhart and rogoff also class debasement of currency and hyperinflation as being forms of financial crisis, broadly speaking, **BECAUSE** they lead to unilateral reduction (repudiation) of debt",unilateral reduction (repudiation) of debt , increase in interest rates,0,0.0
Henry George, george said that these services would be provided for free **BECAUSE** investments in beneficial public goods always tend to increase land values by more than the total cost of those investments,Investments in beneficial public goods always tend to increase land values by more than the total cost of those investments , Transfer prices are significant for both taxpayers and tax administrations,0,0.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , Markets are a result of the complex interaction of various institutions,0,0.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , Markets are a result of the complex interaction of various institutions,0,0.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , The structural deficit remains across the business cycle,0,0.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , The bond market has an important part,0,0.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The arena of debt markets has been intrinsically regional , The structural deficit remains across the business cycle,0,0.0
Syndicated loan,"in europe, banks have historically dominated the debt markets **BECAUSE** of the intrinsically regional nature of the arena",The ar , certain,0,0.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent is on the hook if potential lenders balk , The mutual compliance is required,0,0.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent has underwritten loans , The bank had some actions,0,0.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent has potential lenders , The bank sought a liquidity support facility,0,0.0
Syndicated loan," second, underwritten loans usually require more lucrative fees **BECAUSE** the agent is on the hook if potential lenders balk",The agent underwrites loans , management undertakes risks,0,0.0
Syndicated loan," in jurisdictions where the trust is not recognised, it is often addressed by parallel debt provisions stating that the amount outstanding is deemed to be **OWING TO**the security trustee but will be reduced by any amounts actually received by the syndicate members",The amount outstanding will be reduced by any amounts actually received by the syndicate members , investors must be compensated by paying for the delay,0,0.0
Syndicated loan," while quarterly redemption funds and closed-end funds remained the standard **BECAUSE** the secondary loan market does not offer the rich liquidity that is supportive of open-end funds, the open-end funds had sufficiently raised their profile that by mid-2008 they accounted for 15-20% of the loan assets held by mutual funds",The secondary loan market did not offer rich liquidity , The bank had problems in the credit markets,0,0.0
John Kenneth Galbraith," the postwar period also was memorable for galbraith **BECAUSE** of his work, along with eleanor roosevelt and hubert humphrey, to establish a progressive policy organization americans for democratic action (ada) in support of the cause of economic and social justice in 1947",Galbraith worked with Eleanor Roosevelt and Hubert Humphrey , Mal##THUS## supported the protectionist Corn Laws,0,0.0
John Kenneth Galbraith," the postwar period also was memorable for galbraith **BECAUSE** of his work, along with eleanor roosevelt and hubert humphrey, to establish a progressive policy organization americans for democratic action (ada) in support of the cause of economic and social justice in 1947",They established a progressive policy organization Americans for Democratic Action (ADA) , The members of the UAW union began working without a contract,0,0.0
John Kenneth Galbraith," the postwar period also was memorable for galbraith **BECAUSE** of his work, along with eleanor roosevelt and hubert humphrey, to establish a progressive policy organization americans for democratic action (ada) in support of the cause of economic and social justice in 1947",The cause of economic and social justice was supported in , The League and the ideas of collective security were defeated,0,0.0
John Kenneth Galbraith,"india was considered by kennedy to be important not just in its own right, but also **BECAUSE** an indian diplomat always served as the chief commissioner of the international control commission (icc), and ##THUS## in this way, galbraith came to be involved in american policy towards southeast asia from his perch as an ambassador in new delhi",An Indian diplomat always served as the chief commissioner of the International Control Commission (ICC) , Public international law has a special status,0,0.0
John Kenneth Galbraith," in 1961, when kennedy considered intervening in the civil war in laos, galbraith strongly advised him not to, warning him that the disaster of the bay of pigs invasion had been **CAUSED BY** kennedy taking the advice offered by the hawkish joint chiefs of staff who had assured him that the invasion could not fail and were now saying the same about the proposed intervention in laos",The disaster of the Bay of Pigs invasion was **CAUSED BY** Kennedy taking the advice offered by the hawkish Joint Chiefs of Staff , Clay took advantage of Biddle's manipulation,0,0.0
John Kenneth Galbraith," in 1961, when kennedy considered intervening in the civil war in laos, galbraith strongly advised him not to, warning him that the disaster of the bay of pigs invasion had been **CAUSED BY** kennedy taking the advice offered by the hawkish joint chiefs of staff who had assured him that the invasion could not fail and were now saying the same about the proposed intervention in laos",The hawkish Joint Chiefs of Staff assured Kennedy that the invasion could not fail , The League powers were unprepared,0,0.0
John Kenneth Galbraith," schlesinger strongly urged galbraith to support kennedy, but galbraith chose to continue to campaign for mccarthy, partly **BECAUSE** mccarthy's liberalism was closer to his own politics, and partly out of a personal revulsion for kennedy, who had only opportunistically entered the presidential race when it became clear that johnson was not  invincible",Galbraith had personal revulsion for Kennedy , Strachey found himself put off by Keynes,0,0.0
John Kenneth Galbraith," schlesinger strongly urged galbraith to support kennedy, but galbraith chose to continue to campaign for mccarthy, partly **BECAUSE** mccarthy's liberalism was closer to his own politics, and partly out of a personal revulsion for kennedy, who had only opportunistically entered the presidential race when it became clear that johnson was not  invincible",Kennedy had opportunistically entered the presidential race , The strategy was impractical,0,0.0
Circular flow of income," this is a leakage **BECAUSE** it is a leakage out of the current income, ##THUS## reducing the expenditure on current goods and services",The company has a leakage , Investment is affected,0,0.0
Circular flow of income," this is a leakage **BECAUSE** it is a leakage out of the current income, ##THUS## reducing the expenditure on current goods and services",The company's income is not enough to cover its expenditure , The structural deficit remains across the business cycle,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , The decisions are made under stress,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , The economic development goals of specific countries cannot be reached,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , employees work particular careers,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , Causal relationships are of interest,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,community of people within a certain domain of specialization have expertise , Some sources of risk are added,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , The twin paradox is not a paradox,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , The assumption that A causes B is made,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , The S up and S down states exist,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , convexity is essential,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization exists , The difficulty of determining the optimal behavior exists,0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization has expertise , The firm has some actions (dominating the market),0,0.0
Linguistics, there may be certain lexical additions (new words) that are brought into play **BECAUSE** of the expertise of the community of people within a certain domain of specialization,certain domain of specialization has expertise , products have intrinsic value,0,0.0
Linguistics, linguistics is essentially seen as relating to social and cultural studies **BECAUSE** different languages are shaped in social interaction by the speech community,Different languages are shaped in social interaction by the speech community , One's thought processes are facilitated,0,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words",The syntagmatic relation between the words , The state of having inflationary pressure,0,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words",The syntagmatic relation between the words , prior knowledge was present in stock selection,0,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" is a determiner in the syntagmatic relation ", The check digit itself is excluded,0,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" is a determiner in the syntagmatic relation ", It can also be **CAUSED BY** a uniform,0,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" is a determiner in the syntagmatic relation ", The check digit itself is excluded,0,0.0
Linguistics," for example, the article ""the"" is followed by a noun, **BECAUSE** of the syntagmatic relation between the words","The word ""the"" ", doing,0,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics , Hayek disliked rejection of theory of evolution,0,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics , Mark Blaug rejected almost the whole of received macroeconomics,0,0.0
Nicholas Georgescu-Roegen,: 71  : 695  : 106–109 georgescu-roegen's work was blemished somewhat by mistakes **CAUSED BY** his insufficient understanding of the physical science of thermodynamics,Georgescu-Roegen had an insufficient understanding of the physical science of thermodynamics ," Friedrich Hayek wrote that Keynes' study of the aggregate relations in an economy is ""fallacious""",0,0.0
